CID,NumberOfRings,NumberOfAromaticRings,ALogP,MolecularWeight,RotatableBondCount,HydrogenBondAcceptorCount,HydrogenBondDonorCount,TPSA,XlogP,EC50
3544398,2,2.0,0.0,239.31228,4,2,1,29.1,4.0,4.527
3545134,5,4.0,0.0,555.50198,9,7,0,86.8,6.4,1.589
3553673,4,3.0,0.0,350.41098,4,5,0,43.8,3.9,0.97
3554819,4,4.0,0.0,527.6787,8,8,0,154.0,5.6,0.714
3555482,3,2.0,0.0,451.34956,6,4,4,108.0,3.3,1.184
3558505,3,2.0,0.0,272.25608,1,4,0,79.3,2.5,0.1
3561768,3,3.0,0.0,321.80512,3,5,1,111.0,3.7,0.279
3562364,4,2.0,0.0,415.41978,5,8,0,134.0,2.0,0.979
3564247,2,1.0,0.0,256.27828,3,5,1,112.0,1.8,0.728
3568512,4,3.0,0.0,424.88014,4,5,1,94.8,4.4,1.13
3570314,4,4.0,0.0,412.4655,5,7,1,151.0,3.7,2.136
3570683,3,2.0,0.0,314.44838,4,2,1,65.2,2.0,1.774
3573345,2,1.0,0.0,267.4334,5,2,1,59.7,4.5,1.919
3574126,3,2.0,0.0,379.39098,5,8,1,160.0,3.3,0.1
3574233,3,2.0,0.0,297.39142,5,3,1,32.7,2.8,0.1
3590080,4,3.0,0.0,394.442023,6,6,1,61.6,2.8,0.46
3590942,4,4.0,0.0,349.4063,4,6,3,107.0,4.0,0.832
3597458,5,5.0,0.0,524.635,6,8,1,177.0,3.6,2.466
3600302,3,3.0,0.0,381.9216,5,2,1,60.2,4.6,0.785
3600303,3,3.0,0.0,395.94818,5,2,1,60.2,5.0,1.615
3600304,3,3.0,0.0,416.36666,5,2,1,60.2,5.2,0.554
3601294,4,3.0,0.0,495.65676,8,5,2,111.0,4.1,1.858
3602968,3,2.0,0.0,249.71932,0,4,1,77.1,2.2,1.548
3604468,4,3.0,0.0,417.9091,4,6,1,82.1,2.9,1.369
3605184,3,3.0,0.0,389.41079,8,6,2,41.5,5.0,0.631
3605573,3,3.0,0.0,477.346623,6,5,1,74.9,4.6,2.661
3606819,4,3.0,0.0,420.46106,5,6,1,104.0,3.8,1.866
3613648,1,1.0,0.0,260.41762,8,2,0,16.1,4.3,0.1
3616903,3,2.0,0.0,331.42924,5,4,1,87.4,3.8,4.911
3621933,5,4.0,0.0,484.50656,7,8,0,111.0,3.6,3.189
3626013,5,3.0,0.0,522.6126,7,7,0,102.0,4.5,1.507
3628956,3,2.0,0.0,498.5316,10,8,2,156.0,2.4,1.106
3630556,2,2.0,0.0,476.33426,7,7,3,145.0,4.3,2.028
3646812,4,4.0,0.0,439.46432,4,7,1,159.0,4.3,0.221
3652944,3,2.0,0.0,429.57554,9,6,1,90.1,4.3,1.115
3660964,5,4.0,0.0,415.53066,5,4,0,63.4,4.3,3.696
3662576,2,2.0,0.0,263.27246,2,5,1,116.0,2.6,0.325
3669957,3,2.0,0.0,330.783843,2,2,1,32.3,3.7,1.484
3682004,3,2.0,0.0,319.78272,4,3,0,40.5,3.2,1.814
3685220,2,2.0,0.0,379.34792,5,8,4,171.0,2.9,0.87
3685735,2,2.0,0.0,240.70926,1,2,0,58.0,2.7,0.973
3690451,3,3.0,0.0,520.39618,7,6,3,126.0,3.5,1.116
3690465,3,3.0,0.0,399.4436,5,5,1,113.0,3.8,1.408
3692437,4,4.0,0.0,429.3817,5,7,0,131.0,4.8,1.015
3693334,3,2.0,0.0,317.31984,2,6,0,116.0,2.8,1.792
3696776,3,3.0,0.0,312.75362,3,2,2,59.0,2.9,0.461
3701150,4,3.0,0.0,459.3252,4,5,1,94.8,5.0,1.241
3703449,3,2.0,0.0,285.33766,5,4,1,53.7,3.0,7.309
3706286,4,4.0,0.0,326.39442,4,4,1,50.7,4.7,0.596
3713338,3,1.0,0.0,267.12184,0,2,1,35.8,1.1,3.782
3714053,4,3.0,0.0,336.3844,3,5,1,54.8,3.6,2.488
3714790,3,3.0,0.0,278.35162,4,4,1,50.7,3.8,1.332
3715537,3,3.0,0.0,449.45592,10,6,2,123.0,3.6,1.282
3715698,3,3.0,0.0,278.30856,3,2,2,59.0,2.2,2.534
3727169,5,5.0,0.0,486.58204,8,5,1,80.2,5.0,2.206
3734285,3,3.0,0.0,399.93688,7,4,1,73.5,4.6,0.738
3734343,3,3.0,0.0,295.314263,3,6,2,90.7,2.2,2.523
3737946,5,2.0,0.0,432.55458,4,4,0,49.8,4.3,1.562
3740528,4,3.0,0.0,362.46474,5,4,0,32.8,3.4,0.1
3742911,0,0.0,0.0,282.46466,10,2,0,23.6,3.8,0.324
3743685,2,2.0,0.0,286.41184,8,2,0,27.0,4.4,1.317
3755880,4,3.0,0.0,547.66512,11,6,1,112.0,5.1,2.103
3755918,1,1.0,0.0,281.70511,5,6,1,28.2,3.1,0.659
3762355,4,3.0,0.0,441.44559,4,7,0,45.7,5.0,2.32
3767566,5,5.0,0.0,454.455763,5,6,2,102.0,1.5,1.222
3769494,5,3.0,0.0,456.9666,3,4,0,60.2,5.6,2.357
3770318,2,1.0,0.0,313.2634,3,8,0,123.0,1.3,7.533
3774420,2,2.0,0.0,346.29486,4,7,1,150.0,3.7,0.103
3774839,4,3.0,0.0,363.49916,3,4,0,36.7,4.3,0.145
3777125,4,4.0,0.0,442.42352,4,6,2,133.0,6.1,0.937
3778038,2,2.0,0.0,308.37598,6,5,0,119.0,1.0,6.091
3778366,4,3.0,0.0,417.59128,5,7,0,110.0,3.9,0.836
3784610,5,5.0,0.0,424.49436,7,4,2,77.8,3.7,1.333
3787293,2,2.0,0.0,244.3321,7,2,0,27.0,3.0,0.443
3787753,2,2.0,0.0,263.7459,4,4,1,77.0,4.5,1.724
3788601,4,3.0,0.0,467.6102,7,9,2,150.0,3.9,2.568
3788602,3,3.0,0.0,341.27834,2,6,0,128.0,2.7,1.537
3793001,4,3.0,0.0,428.454943,6,5,1,66.5,4.3,0.317
3793971,4,3.0,0.0,473.01082,9,5,1,73.7,5.4,2.216
3794983,2,,0.0,275.21696,2,5,2,,1.9,0.13
3804682,5,4.0,0.0,447.57244,5,6,1,106.0,4.9,1.872
3808385,3,2.0,0.0,385.47992,4,5,1,95.8,2.8,0.769
3811656,3,2.0,0.0,364.84648,5,5,0,79.4,3.3,2.205
3812524,3,3.0,0.0,351.25028,2,4,1,84.2,5.8,0.166
3812674,3,3.0,0.0,487.461179,5,9,1,72.2,5.9,2.519
3816461,3,2.0,0.0,346.44718,4,6,1,73.9,2.6,1.263
3826961,5,5.0,0.0,420.50566,6,3,2,64.6,4.3,2.424
3827421,4,3.0,0.0,329.43482,4,1,1,29.1,6.2,2.416
3835571,5,4.0,0.0,471.55086,6,5,2,98.1,3.2,2.165
3836416,4,4.0,0.0,530.512359,7,12,0,115.0,5.7,1.917
3839220,2,2.0,0.0,250.724,6,2,0,27.0,3.0,2.051
3841658,2,2.0,0.0,244.3321,7,2,0,27.0,3.0,0.54
3851518,3,3.0,0.0,322.42732,5,5,0,67.2,3.3,1.893
3863745,2,1.0,0.0,261.1708,2,2,1,49.7,3.3,1.797
3875018,3,2.0,0.0,358.45458,3,4,1,74.9,3.7,2.143
3875781,4,3.0,0.0,409.54438,5,5,1,86.6,4.7,0.1
3878766,4,3.0,0.0,401.42479,3,7,1,39.6,4.1,1.639
3881168,4,2.0,0.0,537.6703,11,7,1,115.0,5.3,1.976
3888835,4,3.0,0.0,494.6058,7,6,3,108.0,4.3,2.157
3898532,3,3.0,0.0,340.35648,3,6,1,129.0,2.9,1.106
3904315,4,4.0,0.0,287.35838,2,1,0,22.2,4.6,1.429
3911113,4,4.0,0.0,389.51652,6,4,0,71.6,3.7,0.118
3918318,4,3.0,0.0,494.97166,4,8,1,162.0,4.0,0.528
3923254,4,2.0,0.0,414.36882,3,8,0,134.0,2.2,0.306
3926665,2,2.0,0.0,481.50791,12,8,2,79.9,4.1,1.949
3926947,2,2.0,0.0,267.36544,5,1,1,29.1,4.1,0.794
3936594,3,3.0,0.0,463.3051,6,7,2,119.0,2.1,1.795
3939561,3,2.0,0.0,497.55359,6,8,3,140.0,5.0,2.404
3953791,3,2.0,0.0,428.33276,4,4,2,86.9,3.7,1.911
3954939,4,3.0,0.0,480.94508,4,8,1,162.0,3.6,0.713
3966561,5,4.0,0.0,425.47912,5,5,1,65.4,4.9,1.509
3974576,4,3.0,0.0,446.58768,5,5,2,129.0,5.1,0.717
3974799,4,4.0,0.0,451.2695,5,4,2,84.5,4.7,2.727
3976052,2,2.0,0.0,338.8092,5,4,2,95.7,4.0,2.261
3979644,3,3.0,0.0,508.37436,8,6,1,121.0,5.0,3.555
4003717,5,5.0,0.0,470.61238,7,7,1,122.0,5.7,2.473
4008711,4,2.0,0.0,443.55906,7,6,2,96.1,3.6,2.441
4011297,3,3.0,0.0,353.43806,5,5,1,92.4,3.9,2.468
4012930,4,2.0,0.0,411.451,4,6,1,96.6,4.2,1.103
4018133,4,3.0,0.0,555.44022,8,8,2,136.0,6.2,1.09
4019447,2,2.0,0.0,387.17488,4,6,1,117.0,2.2,2.394
4023746,5,3.0,0.0,403.51666,3,3,1,48.6,4.6,1.998
4027441,2,1.0,0.0,349.42138,7,6,2,98.8,4.7,4.922
4029048,2,2.0,0.0,387.4296,8,6,1,96.6,3.2,0.404
4039390,3,3.0,0.0,508.37436,6,6,1,121.0,5.3,2.417
4042813,4,3.0,0.0,509.549263,9,7,2,133.0,5.0,2.214
4047051,6,2.0,0.0,507.44378,5,5,2,102.0,4.1,2.786
4047587,3,3.0,0.0,322.40088,6,2,1,43.3,3.7,0.705
4054874,3,3.0,0.0,366.43352,6,4,2,95.7,4.9,3.488
4058359,3,3.0,0.0,375.91548,6,2,2,76.3,4.2,2.805
4064683,4,3.0,0.0,352.428483,2,3,1,65.2,2.4,0.885
4066854,3,3.0,0.0,347.4534,8,3,1,54.9,4.9,2.985
4067868,2,1.0,0.0,383.4658,6,8,1,119.0,2.1,0.482
4072948,3,2.0,0.0,404.52632,8,7,1,83.2,1.8,0.916
4074996,3,3.0,0.0,325.20295,2,9,0,103.0,2.1,0.723
4075726,3,2.0,0.0,461.01666,7,4,2,93.9,5.2,60.0
4077979,3,3.0,0.0,426.5054,12,7,2,84.2,3.2,1.789
4080219,3,2.0,0.0,429.6219,9,4,2,92.1,3.3,1.287
4086763,4,2.0,0.0,406.54044,6,3,1,74.7,4.4,2.881
4088367,3,3.0,0.0,423.89376,4,6,0,132.0,4.8,1.726
4091590,4,4.0,0.0,314.38372,3,3,1,42.2,5.0,1.741
4091866,4,4.0,0.0,466.466042,10,7,1,82.8,5.8,2.451
4092732,3,2.0,0.0,353.52418,5,2,2,59.4,4.2,1.098
4095323,3,2.0,0.0,403.470383,6,6,1,104.0,4.2,0.879
4098274,3,3.0,0.0,387.88312,6,4,1,82.6,3.3,0.722
4098276,3,3.0,0.0,395.47474,8,5,1,99.7,2.9,0.631
4101429,4,3.0,0.0,364.464,3,3,1,74.4,2.3,1.123
4104374,3,3.0,0.0,379.54154,6,3,1,85.6,4.1,0.653
4109233,3,3.0,0.0,393.56812,6,3,1,85.6,4.5,0.483
4112048,4,3.0,0.0,472.5373,5,8,1,162.0,3.3,0.173
4114795,4,3.0,0.0,461.9848,5,6,1,116.0,4.5,2.223
4118176,6,4.0,0.0,464.4754,2,5,1,108.0,4.4,1.452
4129168,3,3.0,0.0,308.3743,6,2,1,43.3,3.3,1.159
4132205,4,3.0,0.0,485.04136,8,5,1,90.3,5.0,2.295
4135073,3,3.0,0.0,347.2065,5,3,1,47.3,2.9,0.1
4136153,3,3.0,0.0,310.30736,4,6,1,92.9,3.6,2.219
4137406,4,3.0,0.0,448.50443,3,8,1,86.4,6.1,1.407
4139598,3,3.0,0.0,351.35598,3,5,2,108.0,3.4,1.16
4145279,4,3.0,0.0,446.97016,5,5,2,112.0,5.2,1.093
4147163,3,3.0,0.0,317.31984,2,6,1,129.0,3.8,0.642
4150312,4,4.0,0.0,463.6182,9,7,1,125.0,4.9,0.521
4153842,3,3.0,0.0,381.9216,5,2,1,60.2,4.6,0.8
4154942,4,3.0,0.0,445.409473,4,8,1,65.8,5.4,2.447
4156468,3,1.0,0.0,347.36574,1,5,0,112.0,3.7,0.212
4158180,3,2.0,0.0,406.41302,5,8,1,161.0,1.8,0.726
4160822,5,5.0,0.0,438.47788,6,4,1,76.5,4.1,0.826
4160908,6,2.0,0.0,372.3785,3,7,1,132.0,2.0,0.1
4165403,5,3.0,0.0,544.69268,8,12,2,171.0,3.6,0.832
4166081,3,2.0,0.0,377.880103,7,4,1,32.7,4.7,4.037
4178804,4,3.0,0.0,459.436053,5,8,1,65.8,5.8,3.397
4178848,3,3.0,0.0,431.89262,6,5,3,105.0,3.4,2.161
4183279,3,2.0,0.0,373.28684,5,3,0,23.6,3.9,1.847
4187113,4,3.0,0.0,278.323503,2,3,1,24.9,4.5,2.478
4189744,5,2.0,0.0,572.49718,6,7,0,138.0,4.5,4.066
4191742,2,2.0,0.0,266.248283,2,5,1,103.0,3.0,0.614
4192819,3,2.0,0.0,316.37484,3,5,1,88.7,3.0,0.846
4206649,9,3.0,0.0,582.68756,3,4,0,74.8,4.9,2.491
4208027,2,2.0,0.0,379.420866,9,6,1,80.7,5.0,1.682
4213523,2,2.0,0.0,289.344603,7,4,2,41.5,2.8,0.321
4214141,4,3.0,0.0,549.46934,7,6,3,108.0,5.2,1.579
4221681,3,2.0,0.0,385.47992,4,5,1,95.8,2.8,1.317
4226016,3,2.0,0.0,369.52358,5,3,2,68.6,4.4,2.756
4229853,3,2.0,0.0,358.472823,5,4,0,48.8,4.0,2.178
4230544,3,2.0,0.0,436.9522,6,6,2,105.0,4.5,1.537
4230997,5,4.0,0.0,516.61132,6,6,1,102.0,3.9,1.566
4246134,5,5.0,0.0,403.88406,3,3,2,86.0,6.0,2.104
4247467,3,3.0,0.0,361.84584,3,4,1,87.6,3.4,1.653
4247469,3,3.0,0.0,347.81926,3,4,1,87.6,3.0,1.39
4249116,3,3.0,0.0,355.26186,2,7,0,155.0,3.0,0.318
4250189,3,2.0,0.0,396.54892,7,3,2,89.4,3.2,0.516
4250647,4,3.0,0.0,445.409473,5,8,1,65.8,5.5,2.902
4251978,2,2.0,0.0,376.89694,7,4,1,79.7,5.7,2.02
4252617,4,3.0,0.0,413.33408,2,2,1,65.2,3.0,1.776
4255778,4,3.0,0.0,440.55512,6,5,1,88.0,4.5,2.095
4261263,4,3.0,0.0,443.53914,6,7,1,122.0,2.4,1.583
4264326,3,3.0,0.0,386.7891,6,6,1,110.0,3.6,0.1
4273494,4,4.0,0.0,360.83948,4,3,2,55.9,5.4,5.322
4278191,2,2.0,0.0,323.28136,3,7,1,158.0,2.9,1.865
4278357,6,2.0,0.0,358.35192,3,7,1,132.0,1.6,0.1
4279338,2,2.0,0.0,329.3074,4,5,1,121.0,3.3,0.879
4281832,7,2.0,0.0,499.64378,8,3,2,78.5,5.6,2.815
4282422,4,3.0,0.0,460.99674,5,5,2,112.0,5.5,1.176
4283309,3,3.0,0.0,377.50252,6,3,1,69.5,4.0,1.549
4283376,3,3.0,0.0,406.47754,6,4,1,92.7,4.5,2.588
4288896,3,3.0,0.0,361.50312,5,2,1,60.2,4.4,1.455
4291888,3,3.0,0.0,414.25264,6,4,1,73.2,3.4,0.281
4295044,3,2.0,0.0,518.48634,10,5,2,62.8,5.7,1.461
4296722,4,3.0,0.0,447.89532,5,7,1,115.0,1.9,2.542
4301144,3,2.0,0.0,409.41366,5,8,1,143.0,2.3,4.551
4305830,2,1.0,0.0,277.23284,2,6,1,113.0,1.9,1.728
4306553,3,3.0,0.0,360.38764,6,8,2,142.0,3.6,2.202
4317171,4,4.0,0.0,391.33702,2,7,1,131.0,4.0,0.313
4317586,5,2.0,0.0,486.43985,4,10,1,91.1,4.5,1.243
4320212,5,4.0,0.0,465.49992,7,5,0,79.8,4.1,0.666
4321036,4,3.0,0.0,408.55632,5,4,1,73.7,5.7,1.094
4325512,6,4.0,0.0,480.4748,3,6,1,118.0,4.0,1.868
4329094,2,2.0,0.0,276.31098,3,4,1,103.0,3.7,0.471
4341847,2,2.0,0.0,395.28138,5,6,1,112.0,3.5,3.472
4342968,3,2.0,0.0,399.39724,6,6,1,130.0,3.9,0.106
4353821,4,3.0,0.0,409.52454,7,4,1,70.5,4.3,0.971
4354634,6,4.0,0.0,432.53796,2,6,0,86.3,4.9,1.8
4366715,3,2.0,0.0,423.50146,9,6,2,84.9,4.9,60.0
4374687,2,1.0,0.0,265.22214,3,5,1,121.0,1.6,0.622
4377688,4,3.0,0.0,419.473,5,5,0,82.5,4.7,1.274
4400441,3,3.0,0.0,396.3999,6,9,2,131.0,4.6,0.888
4400793,4,3.0,0.0,304.36568,1,4,1,87.3,4.2,2.633
4406635,4,3.0,0.0,292.41796,3,1,2,41.8,4.4,2.561
4407879,2,1.0,0.0,250.35982,2,2,2,73.2,2.6,8.39
4410730,2,2.0,0.0,333.397163,10,5,1,41.9,2.8,0.526
4412278,5,2.0,0.0,561.7133,6,8,1,130.0,3.2,1.834
4415508,4,4.0,0.0,433.52272,7,6,2,105.0,5.3,2.528
4416036,3,2.0,0.0,447.32232,6,6,1,74.0,4.6,0.826
4418966,4,4.0,0.0,421.57822,6,5,0,101.0,6.3,2.66
4420758,5,2.0,0.0,490.01482,3,6,0,78.5,2.8,0.1
4421377,3,3.0,0.0,453.90827,5,6,1,72.2,5.7,2.841
4422588,3,3.0,0.0,322.18042,2,5,0,77.1,3.8,1.96
4424226,4,2.0,0.0,444.38788,1,3,1,67.7,4.3,0.828
4432476,4,4.0,0.0,560.51512,10,6,1,116.0,5.8,1.254
4433033,3,3.0,0.0,388.455743,7,6,0,76.4,3.7,2.168
4435004,3,3.0,0.0,297.326843,4,3,1,46.9,3.5,3.002
4444078,5,3.0,0.0,569.612242,6,9,2,148.0,5.4,1.983
4448288,3,2.0,0.0,398.5648,7,4,1,72.7,2.9,1.193
4454650,2,2.0,0.0,261.19038,2,6,0,114.0,2.0,0.503
4456997,2,2.0,0.0,313.39082,10,4,0,48.4,5.7,1.887
4457839,4,4.0,0.0,455.29344,6,6,1,90.1,4.7,1.463
4462716,6,2.0,0.0,367.40174,3,5,1,106.0,2.8,0.1
4466069,3,3.0,0.0,431.89262,6,5,3,105.0,3.4,1.802
4519805,2,2.0,0.0,378.45258,6,8,2,141.0,1.6,0.879
4535572,4,4.0,0.0,300.35714,3,3,1,42.2,4.6,1.156
4542386,3,3.0,0.0,301.79388,3,4,1,66.0,4.4,2.132
4547196,3,3.0,0.0,409.4185,5,7,2,155.0,2.7,0.994
4547204,3,2.0,0.0,419.469783,7,7,1,113.0,3.2,1.012
4550538,5,3.0,0.0,522.6126,7,7,0,102.0,4.4,1.901
4555838,4,3.0,0.0,380.43696,5,6,0,53.0,3.9,0.839
4557525,4,3.0,0.0,434.47785,3,8,1,86.4,5.7,1.541
4571362,6,5.0,0.0,506.57828,6,7,1,122.0,5.5,2.075
4583869,4,3.0,0.0,362.49118,4,2,1,65.2,2.7,0.1
4584216,4,3.0,0.0,413.33408,2,2,1,65.2,3.0,0.605
4588426,6,1.0,0.0,384.53492,4,3,2,74.6,4.5,1.149
4592792,5,4.0,0.0,426.51024,6,5,0,60.2,5.1,2.228
4595084,3,1.0,0.0,347.36574,1,5,0,112.0,3.6,0.955
4600171,5,3.0,0.0,400.46966,4,4,1,50.8,5.8,2.613
4603044,4,3.0,0.0,491.5588,9,6,2,133.0,4.9,2.168
4606765,5,4.0,0.0,584.64222,11,8,2,156.0,4.7,1.112
4607449,3,2.0,0.0,421.485663,6,7,0,78.5,2.0,0.346
4617636,5,4.0,0.0,357.3621,2,5,1,73.3,3.2,2.088
4637242,3,3.0,0.0,377.31727,4,7,2,84.2,3.8,9.954
4648579,3,3.0,0.0,503.45508,9,4,2,96.8,4.0,0.606
4649064,5,3.0,0.0,498.5912,6,7,1,107.0,4.7,1.89
4649066,5,4.0,0.0,460.59112,6,3,3,109.0,4.1,1.069
4652205,3,3.0,0.0,331.30336,2,6,0,137.0,2.6,1.769
4661286,1,1.0,0.0,222.24046,5,4,2,67.4,3.1,0.792
4667754,3,3.0,0.0,329.759323,3,6,2,90.7,2.8,1.182
4670108,6,4.0,0.0,559.654303,5,7,1,100.0,3.6,0.583
4671958,2,2.0,0.0,333.359,5,5,0,105.0,2.7,2.468
4677543,2,1.0,0.0,233.2664,0,4,1,75.1,3.1,5.964
4679493,3,1.0,0.0,318.79796,4,4,1,49.4,3.4,0.509
4680891,2,2.0,0.0,453.45475,10,8,2,79.9,3.3,1.232
4688974,4,3.0,0.0,436.45067,3,9,1,95.6,4.5,0.522
4779498,4,4.0,0.0,344.384883,4,5,1,50.7,4.4,0.658
4779511,4,2.0,0.0,397.42442,4,6,1,96.6,3.7,0.709
4780318,3,2.0,0.0,448.53582,7,8,0,107.0,3.3,1.302
4782221,3,3.0,0.0,350.37122,7,5,1,92.7,3.7,1.802
4795714,4,3.0,0.0,362.42498,4,5,1,74.0,4.0,0.811
4799115,3,3.0,0.0,332.327906,3,6,2,95.2,2.7,0.9
4831254,4,3.0,0.0,512.50357,4,7,2,122.0,5.0,2.046
4831440,4,3.0,0.0,471.501283,7,8,1,118.0,3.0,1.358
4832437,4,2.0,0.0,394.33436,5,7,1,135.0,2.4,4.646
4832934,4,2.0,0.0,506.01422,5,6,1,104.0,2.5,26.569
4833225,3,3.0,0.0,265.3098,4,2,1,46.9,2.0,1.627
4833233,2,2.0,0.0,444.24569,6,6,2,61.4,3.5,1.71
4833287,6,2.0,0.0,499.66868,8,6,1,121.0,4.8,60.0
4834113,2,2.0,0.0,428.65698,10,2,4,112.0,4.8,3.348
4839240,4,2.0,0.0,349.46928,4,3,0,26.8,3.1,0.793
4839303,7,2.0,0.0,410.52914,4,5,1,88.7,5.2,0.844
4839973,4,4.0,0.0,529.605183,11,6,2,88.5,4.5,3.248
4840256,3,1.0,0.0,442.5959,7,8,1,116.0,0.4,1.939
4840499,4,2.0,0.0,486.62686,7,7,1,90.6,3.1,0.634
4840816,3,3.0,0.0,375.50326,10,3,2,41.5,5.3,2.102
4841451,4,2.0,0.0,474.5731,8,8,1,116.0,3.9,0.843
4841592,3,2.0,0.0,475.56116,8,9,1,127.0,2.2,0.454
4852713,3,3.0,0.0,407.50206,10,5,1,51.2,4.4,0.447
4860104,4,3.0,0.0,397.53368,6,4,2,93.2,4.2,1.887
4860171,5,3.0,0.0,456.4501,2,6,1,116.0,3.6,1.935
4876354,3,2.0,0.0,367.36881,4,7,0,54.3,1.5,1.506
4876678,3,2.0,0.0,442.35934,4,4,2,86.9,4.1,1.058
4878127,4,3.0,0.0,452.52606,4,7,1,129.0,4.5,1.443
4878352,3,3.0,0.0,349.42622,6,3,1,56.2,4.2,1.274
4879304,3,2.0,0.0,317.4291,3,5,1,111.0,4.0,2.409
4879810,3,2.0,0.0,353.1602,2,4,1,82.1,1.2,2.108
4880050,3,2.0,0.0,417.52178,9,6,1,87.3,2.5,0.695
4880279,4,4.0,0.0,472.96438,6,6,2,121.0,5.2,1.186
4880417,4,4.0,0.0,349.36984,4,7,1,127.0,2.1,1.933
4880769,5,4.0,0.0,482.57518,6,9,1,130.0,3.5,1.254
4882182,5,4.0,0.0,425.47912,5,3,2,82.3,4.6,1.753
4882879,5,4.0,0.0,395.4995,5,5,1,53.9,4.5,1.342
4893393,4,4.0,0.0,408.9271,7,4,1,60.0,4.7,1.486
4895470,3,3.0,0.0,353.46128,7,5,1,55.2,3.6,0.156
4896097,3,3.0,0.0,412.52188,7,5,1,71.8,3.9,2.293
4896989,3,3.0,0.0,337.46188,7,4,1,46.0,3.5,0.911
4902140,3,3.0,0.0,341.425763,6,5,1,46.0,3.7,0.9
4911163,4,4.0,0.0,450.46712,6,7,1,134.0,2.2,1.842
4917700,5,4.0,0.0,469.434173,3,8,0,63.4,4.1,0.164
4918109,3,1.0,0.0,393.455723,3,7,0,75.8,2.2,0.625
4919925,2,1.0,0.0,327.38094,4,6,0,99.9,2.5,0.345
4920916,4,3.0,0.0,333.36384,1,6,1,114.0,2.5,0.536
4961630,2,1.0,0.0,328.85744,3,3,2,86.4,4.0,1.745
4962027,1,1.0,0.0,231.6992,4,3,1,74.4,1.4,3.213
4966753,4,3.0,0.0,471.38678,6,4,1,54.7,5.4,2.368
4967350,3,3.0,0.0,451.59768,12,5,2,62.2,5.5,3.451
4967538,4,2.0,0.0,472.60028,7,7,1,90.6,1.7,1.58
4971561,6,6.0,0.0,432.51966,5,4,1,74.6,4.5,1.172
4974258,5,4.0,0.0,426.51024,5,5,1,61.2,4.0,1.341
4975837,3,2.0,0.0,329.48294,6,4,1,46.0,3.8,0.603
4983871,4,3.0,0.0,471.5923,7,7,2,124.0,4.2,1.228
4985033,3,3.0,0.0,470.001903,9,3,2,76.5,5.2,1.916
4993461,2,2.0,0.0,258.35868,7,2,0,27.0,3.4,0.505
4993768,5,4.0,0.0,484.99984,5,3,2,91.0,5.4,2.325
5000221,5,4.0,0.0,453.575343,5,7,0,127.0,5.8,1.062
5002100,2,2.0,0.0,327.698843,5,6,1,106.0,2.0,0.1
5002102,2,2.0,0.0,323.73496,5,5,1,106.0,2.3,0.131
5005059,5,3.0,0.0,515.84198,3,3,3,88.5,5.9,3.437
5007427,5,3.0,0.0,563.62146,9,9,0,123.0,3.0,3.369
5010903,3,3.0,0.0,328.4286,4,3,1,59.5,3.2,3.201
5014092,6,2.0,0.0,355.85788,3,2,1,42.2,5.6,2.114
5019668,3,1.0,0.0,368.45116,3,7,0,98.1,1.7,0.81
5025746,3,2.0,0.0,479.03524,8,6,1,81.3,3.5,0.395
5035618,4,3.0,0.0,378.44422,4,5,1,90.4,4.0,3.009
5039004,4,3.0,0.0,435.31316,3,3,1,52.9,5.1,2.154
5044266,4,3.0,0.0,498.70376,11,6,1,119.0,5.3,1.999
5044270,4,4.0,0.0,506.6827,11,6,0,110.0,5.7,0.606
5044744,4,3.0,0.0,366.21138,3,2,2,53.5,4.0,1.124
5045172,5,4.0,0.0,444.91284,4,4,1,70.7,4.8,1.658
5056535,2,2.0,0.0,344.15344,5,5,1,106.0,2.5,0.132
5060417,4,3.0,0.0,372.82542,3,5,0,88.7,4.2,2.161
5069258,5,4.0,0.0,442.50964,5,5,1,77.8,4.4,1.615
5069375,3,3.0,0.0,369.455703,6,5,1,70.5,4.6,0.282
5069383,3,3.0,0.0,379.5184,7,4,1,70.5,4.6,0.133
5072577,5,5.0,0.0,543.5903,9,8,2,128.0,4.2,1.636
5080398,4,2.0,0.0,481.62696,10,6,1,63.3,4.3,1.363
5091952,4,3.0,0.0,421.48888,7,6,1,72.9,3.8,2.632
5093561,4,4.0,0.0,482.566983,11,6,1,77.9,4.6,0.226
5093963,2,2.0,0.0,429.78908,7,10,0,185.0,3.3,1.198
5098531,5,3.0,0.0,496.57862,5,8,1,123.0,3.6,1.856
5099491,5,4.0,0.0,481.58544,5,5,0,54.9,5.6,2.932
5102347,6,4.0,0.0,460.91224,3,5,0,69.0,3.6,4.203
5103720,4,4.0,0.0,402.48884,5,4,1,72.4,4.0,2.668
5109926,5,4.0,0.0,487.55026,7,6,2,107.0,2.2,1.201
5111058,4,2.0,0.0,340.48566,2,2,1,65.2,2.6,0.379
5114200,3,2.0,0.0,453.1941,2,2,1,59.7,4.5,1.635
5127299,4,2.0,0.0,298.80986,1,2,1,38.9,4.1,1.082
5128590,3,3.0,0.0,418.55444,8,3,2,89.4,3.3,0.805
5128597,2,2.0,0.0,384.53822,9,3,2,89.4,3.1,0.65
5130521,3,3.0,0.0,432.58102,9,3,2,89.4,3.7,1.284
5136552,4,4.0,0.0,377.39656,5,5,2,94.1,3.3,2.506
5140056,4,4.0,0.0,555.6705,10,8,1,164.0,4.3,2.025
