CID,NumberOfRings,NumberOfAromaticRings,ALogP,MolecularWeight,RotatableBondCount,HydrogenBondAcceptorCount,HydrogenBondDonorCount,TPSA,XlogP,EC50
663848,5,3.0,0.0,407.50536,5,5,1,50.1,2.7,2.467
663961,4,4.0,0.0,415.4876,6,4,2,88.9,2.6,3.027
664049,4,3.0,0.0,374.43568,5,6,0,65.5,3.8,0.226
664069,5,3.0,0.0,466.504683,5,8,1,74.4,3.6,1.164
664154,4,3.0,0.0,377.43632,5,4,2,74.4,4.6,0.99
664282,6,5.0,0.0,494.0315,4,6,0,108.0,5.0,0.1
664439,4,3.0,0.0,388.46226,6,6,0,65.5,4.2,2.657
664956,4,4.0,0.0,388.2385,3,4,2,99.2,4.1,3.176
665597,4,3.0,0.0,304.3889,2,4,0,41.9,3.8,0.845
665720,3,3.0,0.0,281.35226,2,3,1,44.7,3.3,1.849
666067,3,1.0,0.0,327.46706,5,5,1,55.2,3.9,0.1
666227,5,3.0,0.0,472.57868,6,7,0,67.8,3.8,1.854
666372,4,3.0,0.0,376.19354,3,5,1,77.2,3.9,0.535
666490,3,2.0,0.0,355.4275,5,4,0,48.0,3.6,2.933
666746,6,5.0,0.0,382.46098,2,4,1,74.6,3.4,0.905
666802,5,3.0,0.0,414.41342,3,7,1,111.0,2.1,1.936
666824,4,3.0,0.0,370.46528,4,5,0,84.3,3.4,2.283
666838,3,3.0,0.0,265.35286,3,2,0,21.1,3.5,1.667
666860,5,3.0,0.0,413.53308,5,5,0,85.2,3.7,0.331
666977,4,2.0,0.0,350.45734,3,5,0,49.3,2.9,1.417
667118,6,5.0,0.0,479.57286,7,5,1,70.0,3.7,1.53
668465,4,3.0,0.0,304.34254,3,4,2,50.4,4.4,6.102
672003,2,2.0,0.0,311.31702,5,7,1,131.0,1.1,0.116
673490,3,2.0,0.0,252.71996,2,3,1,70.2,3.2,0.119
677923,3,3.0,0.0,220.26918,2,1,0,17.8,3.3,30.0
678099,3,2.0,0.0,321.21228,2,3,1,36.4,3.2,1.163
678271,3,3.0,0.0,325.34184,3,5,1,116.0,3.6,2.404
683024,3,3.0,0.0,282.36016,2,4,1,84.2,4.5,0.225
683933,2,2.0,0.0,264.36318,2,3,1,43.5,3.2,0.983
686057,3,3.0,0.0,308.11628,3,4,0,52.3,4.3,2.121
689261,3,2.0,0.0,272.3422,4,4,1,45.6,1.8,3.073
689389,3,3.0,0.0,321.41942,6,4,1,56.4,4.4,1.093
690247,2,2.0,0.0,275.26332,5,5,1,106.0,1.1,0.537
693996,2,2.0,0.0,247.20686,3,5,1,101.0,1.2,0.1
694001,2,2.0,0.0,236.18092,3,5,1,101.0,1.4,0.128
696881,4,4.0,0.0,305.28754,3,5,1,81.2,2.9,0.249
697203,3,2.0,0.0,309.36566,3,6,0,65.3,2.2,1.945
697226,3,2.0,0.0,296.40996,5,4,2,49.8,4.5,1.611
697235,3,3.0,0.0,324.80738,5,4,2,49.8,4.9,0.177
698490,3,3.0,0.0,237.2997,0,3,1,51.8,3.2,1.274
699795,3,3.0,0.0,296.39004,3,2,2,74.0,3.2,0.53
700555,4,4.0,0.0,306.38486,3,2,1,72.1,3.2,2.69
700833,3,3.0,0.0,324.18188,3,4,0,67.4,4.9,2.412
701939,2,2.0,0.0,238.62718,0,3,0,66.1,1.9,1.869
702046,3,3.0,0.0,321.41942,5,4,1,56.4,4.4,0.1
702582,3,1.0,0.0,345.43268,5,5,1,56.8,3.9,2.2
704473,3,3.0,0.0,267.34882,3,4,1,66.0,3.8,0.154
704482,3,3.0,0.0,267.34882,3,4,1,66.0,3.8,0.239
704499,3,3.0,0.0,287.7673,3,4,1,66.0,4.0,0.329
704533,3,3.0,0.0,254.3103,3,5,1,78.9,2.7,0.526
704848,4,3.0,0.0,333.29764,1,5,0,96.1,3.2,4.579
705261,4,3.0,0.0,310.41662,2,5,0,60.5,3.5,0.314
709461,4,3.0,0.0,321.41612,4,4,1,37.4,3.5,0.949
712949,3,3.0,0.0,321.37306,5,5,1,64.1,4.7,2.849
714518,3,2.0,0.0,334.43648,5,7,0,86.8,3.1,0.577
717880,3,2.0,0.0,228.31278,0,3,1,54.6,3.5,1.273
719776,3,3.0,0.0,324.33394,4,4,2,104.0,2.9,1.031
720934,4,3.0,0.0,264.32174,3,3,1,38.1,3.5,2.41
721060,3,3.0,0.0,304.3889,5,4,2,49.8,4.7,0.255
721517,2,1.0,0.0,221.34174,1,3,0,60.6,2.8,0.739
721948,2,2.0,0.0,271.7017,2,2,2,64.9,2.8,2.672
723918,2,1.0,0.0,253.72464,4,3,0,29.5,1.8,1.737
727824,2,2.0,0.0,290.7448,3,2,2,50.4,4.0,2.408
728884,3,2.0,0.0,304.81444,2,3,1,32.3,3.6,0.1
730156,3,2.0,0.0,242.35928,3,1,1,19.0,3.6,0.699
731393,3,2.0,0.0,342.7763,4,4,2,69.6,3.6,4.37
731720,2,2.0,0.0,251.26176,2,5,1,116.0,2.4,0.241
734388,2,2.0,0.0,339.17338,4,3,2,67.4,4.6,2.145
735606,2,2.0,0.0,211.25912,3,2,0,22.1,3.1,0.529
736912,3,3.0,0.0,320.30218,2,5,1,116.0,2.4,1.407
738092,3,3.0,0.0,208.21542,0,2,1,48.4,3.2,0.68
741783,3,3.0,0.0,325.3849,3,4,2,99.2,3.5,1.933
743792,1,1.0,0.0,262.37052,4,4,0,79.0,3.3,1.961
744450,1,1.0,0.0,266.38574,5,6,2,66.0,3.0,0.596
746609,3,3.0,0.0,253.32224,3,4,1,66.0,3.4,0.544
749081,2,2.0,0.0,261.23674,4,5,1,106.0,0.6,0.479
750129,2,1.0,0.0,322.42578,5,5,2,88.9,1.8,1.08
751394,4,4.0,0.0,314.38372,3,3,1,42.2,5.0,1.453
751550,2,2.0,0.0,276.29114,3,5,0,85.8,3.7,0.201
751573,4,4.0,0.0,323.37232,3,4,2,104.0,3.4,1.949
754268,3,2.0,0.0,321.75884,3,5,0,65.4,3.2,0.758
756059,2,2.0,0.0,317.33646,6,5,1,66.0,2.9,3.063
757113,2,2.0,0.0,344.15344,5,5,1,106.0,2.5,0.1
757124,2,2.0,0.0,280.24008,5,7,1,132.0,0.4,0.797
757908,2,2.0,0.0,261.74664,2,2,1,29.1,4.0,0.324
761522,2,2.0,0.0,233.304483,4,3,0,38.2,3.4,1.27
763564,3,2.0,0.0,288.32168,1,4,0,94.4,3.1,0.476
765471,3,3.0,0.0,251.32628,0,3,1,51.8,3.6,1.497
765802,3,3.0,0.0,274.31656,3,2,1,42.0,3.3,1.442
765891,2,2.0,0.0,274.31656,4,2,1,52.9,4.1,8.82
766064,4,3.0,0.0,296.79398,2,1,1,19.0,4.1,3.726
767374,3,3.0,0.0,329.22484,2,4,1,98.5,4.7,2.307
768195,2,2.0,0.0,254.36998,6,2,0,16.1,3.5,0.1
768261,2,2.0,0.0,260.76188,5,2,0,16.1,3.3,0.221
768370,2,2.0,0.0,240.3434,5,2,0,16.1,3.0,0.517
768447,2,2.0,0.0,240.3434,5,2,0,16.1,3.0,0.309
772084,3,3.0,0.0,323.30282,4,5,1,91.3,4.3,0.1
772522,3,2.0,0.0,349.46928,7,3,1,35.6,3.0,1.952
773126,3,3.0,0.0,321.3962,3,3,2,86.1,3.6,0.505
773605,2,2.0,0.0,253.319023,2,4,2,97.3,2.5,2.792
779066,2,2.0,0.0,295.20694,5,2,0,16.1,3.9,0.244
779240,3,2.0,0.0,346.85112,6,4,1,35.9,3.0,3.924
780682,3,3.0,0.0,291.34708,4,2,1,46.9,3.7,2.112
780945,3,3.0,0.0,313.78144,4,2,1,46.9,3.6,1.102
781700,2,2.0,0.0,228.28964,3,3,0,28.7,3.1,1.121
783786,2,1.0,0.0,289.45554,6,2,1,21.3,5.5,1.373
784087,3,2.0,0.0,283.36484,5,3,1,30.5,4.2,2.078
784090,3,2.0,0.0,253.33886,4,2,1,21.3,4.2,2.208
784224,3,2.0,0.0,241.2851,3,3,1,30.5,3.4,1.517
784312,3,2.0,0.0,283.36484,5,3,1,30.5,4.2,15.385
784585,2,1.0,0.0,320.46958,8,4,0,24.9,3.2,0.124
784639,3,2.0,0.0,253.33886,4,2,1,21.3,4.2,7.926
788501,2,2.0,0.0,269.33826,6,3,1,38.3,4.0,1.375
791069,4,2.0,0.0,323.38894,3,4,1,62.4,2.5,3.397
791324,3,2.0,0.0,296.40666,5,3,0,15.7,3.4,1.443
792077,3,3.0,0.0,296.3636,6,3,2,46.3,2.8,2.931
792487,4,3.0,0.0,305.41672,3,2,1,22.3,3.8,0.623
792502,3,2.0,0.0,280.40726,4,2,0,6.5,3.4,0.143
792603,3,2.0,0.0,316.82514,4,3,0,15.7,3.7,0.267
799448,3,3.0,0.0,279.33638,3,2,1,46.9,2.9,3.916
799470,3,2.0,0.0,238.32752,1,2,0,6.5,3.8,0.278
800048,2,2.0,0.0,252.65376,1,3,0,66.1,2.3,1.889
800465,3,3.0,0.0,347.19538,4,3,1,55.1,3.9,0.92
800782,3,3.0,0.0,317.79328,4,5,1,75.3,4.0,3.224
800941,2,2.0,0.0,338.8092,5,4,2,95.7,4.0,1.496
801366,3,3.0,0.0,338.38036,3,4,1,103.0,4.3,1.431
801625,4,4.0,0.0,274.31656,2,2,1,33.6,3.7,6.835
804241,4,4.0,0.0,320.36838,2,4,2,95.2,3.7,1.937
807557,3,3.0,0.0,320.3883,6,5,2,59.1,4.3,0.12
818737,3,3.0,0.0,319.18528,3,1,1,36.1,4.2,0.412
822107,2,2.0,0.0,340.41286,6,4,0,52.6,4.5,2.666
825248,4,4.0,0.0,343.33882,2,5,1,98.9,5.0,2.468
825591,4,3.0,0.0,348.30898,1,5,1,103.0,3.5,0.234
826684,3,2.0,0.0,216.30208,0,3,1,64.2,2.0,3.329
827650,4,3.0,0.0,329.43812,3,3,0,19.4,4.9,0.768
827711,4,3.0,0.0,329.43812,3,3,0,19.4,4.9,0.165
832212,5,1.0,0.0,291.30248,1,6,0,82.5,1.0,0.784
832213,5,1.0,0.0,319.35564,3,6,0,82.5,1.7,0.85
836006,2,2.0,0.0,267.11072,2,2,1,42.0,3.4,0.472
844733,3,3.0,0.0,287.29716,2,6,0,115.0,2.8,0.1
847872,3,2.0,0.0,272.36534,3,3,1,60.6,3.4,4.671
847874,3,2.0,0.0,326.38958,5,4,1,50.8,3.3,3.329
848683,2,1.0,0.0,330.50746,6,2,1,32.3,5.1,4.486
849734,4,3.0,0.0,303.31472,2,4,0,64.8,3.3,2.585
851232,2,2.0,0.0,270.69548,2,5,0,102.0,3.2,0.108
851542,3,2.0,0.0,346.85112,6,4,1,33.7,4.6,2.947
852940,3,3.0,0.0,257.31094,2,4,1,82.6,2.5,1.38
854216,2,2.0,0.0,347.22964,4,4,0,79.0,3.9,0.932
861664,4,3.0,0.0,292.3782,3,3,1,42.2,4.3,2.288
861730,4,3.0,0.0,292.3782,3,3,1,42.2,4.3,1.735
867248,2,2.0,0.0,267.12184,4,2,0,27.0,2.6,3.155
867326,2,1.0,0.0,247.3758,5,2,0,12.5,4.1,1.348
868430,2,1.0,0.0,208.275183,2,3,1,15.3,2.6,0.647
870479,3,3.0,0.0,301.72768,4,5,0,61.0,3.2,2.426
879019,4,4.0,0.0,315.36848,3,3,1,44.7,3.6,2.222
881135,3,2.0,0.0,298.3165,3,4,1,94.7,1.9,2.121
884265,2,2.0,0.0,305.71308,4,4,0,72.1,4.1,2.184
884291,2,2.0,0.0,291.6865,3,4,0,72.1,3.7,2.149
885036,3,3.0,0.0,316.37814,3,5,1,85.3,2.3,1.075
888153,2,2.0,0.0,348.27738,6,2,0,12.5,4.8,1.684
889490,4,3.0,0.0,328.40868,3,5,1,108.0,3.8,2.009
890649,4,3.0,0.0,342.3922,3,6,0,107.0,2.9,0.941
891285,3,2.0,0.0,345.78024,3,4,1,78.2,3.8,2.369
892093,3,2.0,0.0,304.789623,4,3,1,15.3,4.7,2.521
892164,3,2.0,0.0,296.40666,5,3,1,24.5,4.3,3.171
900971,2,2.0,0.0,317.55518,3,3,0,49.7,3.2,2.109
